103	9161	2
2295	1220	5
16687	8443	8
874	9128	5
343	1580	4
20996	8973	5
3837	8418	12
501	5910	7
102	2829	2
123	1809	7
787	1846	4
104	4953	1
219	4706	5
14	3019	9
1807	8820	1
1719	734	0
1714	4564	1
102	6337	8
4168	7254	8
249	3598	25
27071	3550	1
23403	3754	4
3266	8619	5
17	8570	2
8158	8613	18
8239	3540	3
27086	9963	5
2	5216	21
102	4513	27
43702	3811	6
5900	2537	10
490	8015	22
114	7022	5
1277	703	25
17218	8747	8
246	9912	1
3307	6311	17
2524	1888	4
254	5292	7
12	1068	14
29329	812	7
12	8812	3
280	8060	19
2	4647	17
339	1762	19
6113	3289	2
129	8099	3
132	9551	1
154	537	18
5872	6616	25
7786	4081	14
32631	1355	1
4849	6448	1
4508	1046	7
242	6462	8
3814	1228	8
9218	2715	17
4103	8514	5
6848	4505	29
3110	56	0
3397	4579	5
4389	5996	19
4422	5850	12
12	1537	2
12	3360	7
1869	9349	5
11596	5865	21
5	6815	2
14	9166	13
14	6381	15
102	1800	9
455	9850	3
2577	4430	11
16949	3087	0
40660	7733	4
166	7566	19
14	1999	22
3216	6274	8
14	3310	19
27623	1402	9
9435	5519	3
12	7341	27
1089	7150	28
3584	350	4
32736	1339	40
410	2974	5
35839	7166	13
778	6572	6
26681	3310	18
11682	1722	4
143	800	16
9782	7577	8
10207	6335	3
479	5310	5
32754	8866	12
11748	1114	18
11433	3429	23
4082	8304	0
101	4868	6
41570	99	1
2184	1907	3
14	8986	23
14	6620	9
18844	9047	6
20660	6724	31
4758	2476	1
19920	5684	0
6712	7478	23
262	1575	4
941	1597	5
122	7117	4
113	22	5
14	213	14
12435	7174	22
372	3840	7
101	3637	5
7078	1713	6
1438	5488	4
2965	1975	26
26079	7559	8
106	6536	6
105	1764	5
177	7983	2
2342	9130	7
105	1059	5
31440	9055	2
14	1015	18
4599	7350	4
166	8093	9
406	2339	6
863	6626	6
2615	2752	10
126	6718	6
29193	1668	3
2771	5162	1
1123	2796	9
3084	830	3
15132	568	0
14	9299	23
14	5556	12
106	2406	16
212	5936	22
156	9486	12
194	712	32
345	6256	8
42150	1129	14
204	7179	6
241	5645	21
14	2931	9
103	9849	20
4587	9110	23
2403	7910	12
12752	1468	16
1913	8563	11
14	2484	9
10000	6843	7
12	703	16
142	8509	11
20723	1464	1
114	7769	17
12	4822	4
20776	6199	6
241	201	9
8047	7216	11
275	8813	5
4585	1246	5
1299	6057	4
12	7581	9
892	226	10
6831	3885	15
494	7571	15
7689	932	13
996	63	10
1743	54	4
12	8560	9
11190	1174	21
352	1856	24
33669	8942	17
114	7410	11
102	2172	6
17869	7478	19
12	7543	5
1336	7630	7
4331	7454	18
14	5181	10
1205	9924	11
43061	9199	0
739	9675	3
14	9279	13
232	8246	5
43441	882	8
129	6046	12
380	6102	5
771	7882	2
109	9088	15
142	8976	7
101	4923	4
22850	3441	6
141	2453	17
2133	4712	5
433	9276	1
212	2296	3
121	9134	7
1064	4612	10
12	4959	2
14	9564	7
1132	9378	1
14	761	22
14	2109	15
1180	2614	19
5372	8606	4
10505	8040	12
14	796	10
34416	1476	13
20859	2060	24
7045	4597	8
1734	2208	22
359	3466	6
19497	5460	0
538	5513	7
5214	5731	22
7	6839	0
33109	429	7
310	853	9
369	9476	8
27449	3207	1
12	7764	13
299	9836	4
956	3864	8
14	4980	10
6107	8793	5
161	4846	14
128	2803	4
118	4999	8
963	4850	2
168	349	3
4259	759	10
19872	5990	1
30547	1121	7
101	3807	9
6051	6809	9
728	9020	3
4824	475	14
15744	7965	6
14435	9048	8
227	3627	13
11724	3349	5
12	4220	10
102	8154	4
306	3061	9
2968	6121	8
2568	4511	13
125	382	11
29684	8239	3
24588	8808	0
19896	5689	0
953	6723	25
497	6023	9
16738	7625	2
1259	2921	7
29609	2023	3
8	6624	1
612	7905	9
1998	5118	14
122	6528	19
251	4276	5
26611	5564	7
12307	5965	14
102	607	6
412	6817	3
26962	2671	9
27768	7571	19
12704	8334	5
37290	7837	6
1812	6951	5
4883	6714	3
3777	6935	4
57	3931	5
36378	4118	15
9	1868	17
14	2266	22
6363	5474	7
473	2228	2
200	3518	6
26654	7128	9
38919	8606	6
106	8288	5
107	5349	9
16079	6255	10
1439	6960	4
710	691	4
4259	7382	2
250	1109	9
16686	1643	2
5655	2664	3
331	9227	12
122	5133	10
130	921	13
406	1060	8
1106	3412	2
234	9623	16
425	4841	0
101	3354	12
205	9225	10
5728	2570	9
12	9333	10
105	5191	4
155	9445	2
14	5660	7
2207	1136	17
7111	756	24
1205	3658	12
10789	2136	3
15319	7260	2
294	9370	16
6629	8112	11
43659	1991	14
112	6640	7
2058	8034	5
12	2167	8
256	4007	1
2554	1727	16
2190	2737	1
38155	466	8
14	2488	8
14	5339	7
14	3702	10
587	8928	10
2821	5859	12
14249	3147	9
1400	5328	16
396	9373	2
222	688	3
39259	3605	7
3549	7284	12
4482	1610	6
460	8271	13
14	7056	10
14	7262	8
5468	6423	0
4744	244	18
18472	8166	6
39302	8231	16
12	24	11
109	4845	3
3914	462	0
206	2181	2
2865	6676	14
582	8127	2
31692	4045	10
6245	1232	8
2	8089	11
38981	2154	19
12	9241	16
3399	9962	1
35496	2559	7
9192	9501	4
4304	8013	4
12313	887	19
101	5369	7
20630	6049	2
350	1177	19
8043	3945	0
200	2266	10
12	1717	3
28262	5359	4
139	9575	3
6651	6086	5
3311	2311	12
406	2081	3
18568	8755	2
9897	2186	11
14	2673	12
8	8459	19
211	5143	3
477	8211	11
15314	695	0
1519	3395	5
1390	3144	8
2185	4304	8
12	9951	4
432	8666	6
2431	3944	1
318	9999	4
2474	8329	7
34427	2175	15
887	8857	9
1772	4548	3
24344	8706	0
1174	45	6
29187	4486	2
10622	4506	6
769	8677	8
1286	3152	16
41202	1661	4
1897	4158	11
14	470	31
154	684	7
1342	9461	9
8796	1582	13
5961	3840	5
105	1446	2
28226	7070	7
38039	8141	14
29180	3639	11
38166	6408	1
4371	6450	10
31018	283	14
3196	2621	3
700	4834	5
117	7828	20
1285	2390	1
133	4353	11
14	919	9
108	2496	0
125	1904	18
23733	4439	13
2	7764	5
